constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     PK_PE_CommonProduct_ID                  TestSite                                dbo                                     PE_CommonProduct                        ProductID                               1                                       56                                      PK_PE_CommonProduct_ID                  
TestSite                                dbo                                     IX_PE_Company_ClientID                  TestSite                                dbo                                     PE_Company                              ClientID                                1                                       56                                      IX_PE_Company_ClientID                  
TestSite                                dbo                                     IX_PE_Company_TaxNum                    TestSite                                dbo                                     PE_Company                              TaxNum                                  1                                       231                                     IX_PE_Company_TaxNum                    
TestSite                                dbo                                     IX_PE_Company_ZipCode                   TestSite                                dbo                                     PE_Company                              ZipCode                                 1                                       231                                     IX_PE_Company_ZipCode                   
TestSite                                dbo                                     PK_PE_Company_CompanyID                 TestSite                                dbo                                     PE_Company                              CompanyID                               1                                       56                                      PK_PE_Company_CompanyID                 
TestSite                                dbo                                     IX_PE_ComplainItem_ClientID             TestSite                                dbo                                     PE_ComplainItem                         ClientID                                1                                       56                                      IX_PE_ComplainItem_ClientID             
TestSite                                dbo                                     IX_PE_ComplainItem_ContacterID          TestSite                                dbo                                     PE_ComplainItem                         ContacterID                             1                                       56                                      IX_PE_ComplainItem_ContacterID          
TestSite                                dbo                                     PK_PE_ComplainItem_ItemID               TestSite                                dbo                                     PE_ComplainItem                         ItemID                                  1                                       56                                      PK_PE_ComplainItem_ItemID               
TestSite                                dbo                                     IX_PE_Contacter_ClientID                TestSite                                dbo                                     PE_Contacter                            ClientID                                1                                       56                                      IX_PE_Contacter_ClientID                
TestSite                                dbo                                     PK_PE_Contacter_ContacterID             TestSite                                dbo                                     PE_Contacter                            ContacterID                             1                                       56                                      PK_PE_Contacter_ContacterID             
TestSite                                dbo                                     PK_PE_ContentCharge_GeneralID           TestSite                                dbo                                     PE_ContentCharge                        GeneralID                               1                                       56                                      PK_PE_ContentCharge_GeneralID           
TestSite                                dbo                                     PK_PE_ContentPermission                 TestSite                                dbo                                     PE_ContentPermission                    GeneralID                               1                                       56                                      PK_PE_ContentPermission                 
TestSite                                dbo                                     PK_PE_CorrelativeItems_ID               TestSite                                dbo                                     PE_CorrelativeItems                     ID                                      1                                       56                                      PK_PE_CorrelativeItems_ID               
